Time,Source,Destination,Protocol,Length
2024-11-15 09:33:14.118668,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:14.161777,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.161777,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.163591,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:14.177186,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.178378,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:14.191732,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.192864,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:14.233865,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.235290,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:14.261719,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.262361,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:14.306422,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.307542,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.321711,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.335179,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.336009,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.379157,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.405730,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.407595,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.451197,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.479142,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.479142,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.480566,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.549542,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.551462,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.552734,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.624403,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.624403,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.626041,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.645067,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.645067,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.645581,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.696056,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.696056,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.697609,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.769665,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.769665,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.770967,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.790194,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.790194,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.790838,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.839115,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.852233,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.853101,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.914466,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.914466,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.915123,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.935437,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.935437,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.936138,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:14.995859,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.995859,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.997150,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.017945,192.168.1.34,54.192.142.25,6,154
2024-11-15 09:33:15.018870,192.168.1.34,54.192.142.25,6,93
2024-11-15 09:33:15.026036,54.192.142.25,192.168.1.34,6,419
2024-11-15 09:33:15.026036,54.192.142.25,192.168.1.34,6,93
2024-11-15 09:33:15.027256,192.168.1.34,54.192.142.25,6,54
2024-11-15 09:33:15.058508,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.058508,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.060083,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.077155,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.078343,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.078995,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.140143,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.140143,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.140698,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.202168,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.202168,146.75.122.172,192.168.1.34,6,1466
